shirt_number;club_name;name;nationality;goals
14;FC København;Andreas Cornelius;Danmark;0
24;FC København;Birger Meling;Norge;0
6;FC København;Christian Sørensen;Danmark;0
5;FC København;Davit Khocholava;Georgien;0
3;FC København;Denis Vavro;Slovakiet;0
9;FC København;Diogo Gonçalves;Portugal;0
30;FC København;Elias Achouri;Tunesien;0
19;FC København;Elias Jelert;Danmark;0
44;FC København;Emil Højlund;Danmark;0
11;FC København;Jordan Larsson;Sverige;0
1;FC København;Kamil Grabara;Polen;0
2;FC København;Kevin Diks;Holland;0
15;FC København;Khouma Babacar;Senegal;0
12;FC København;Lukas Lerager;Danmark;0
8;FC København;Magnus Mattsson;Danmark;0
10;FC København;Mohamed Elyounoussi;Norge;0
20;FC København;Nicolai Boilesen;Danmark;0
18;FC København;Orri Óskarsson;Island;0
39;FC København;Oscar Højlund;Danmark;0
17;FC København;Paul Mukairu;Nigeria;0
22;FC København;Peter Ankersen;Danmark;0
33;FC København;Rasmus Falk;Danmark;0
40;FC København;Roony Bardghji;Sverige;0
31;FC København;Runar Alex Runarsson;Island;0
26;FC København;Scott McKenna;Skotland;0
21;FC København;Theo Sander;Danmark;0
NULL;FC København;Valdemar Lund Jensen;Danmark;0
47;FC København;Victor Froholdt;Danmark;0
7;FC København;Viktor Claesson;Sverige;0
36;FC København;William Clem;Danmark;0
80;FC København;Ísak Bergmann Jóhannesson;Island;0
1;AGF;Jesper Hansen;Danmark;0
32;AGF;Jonathan Hutters;Danmark;0
45;AGF;Bailey Peacock-Farrell;Nordirland;0
2;AGF;Felix Beijmo;Sverige;0
3;AGF;Mats Knoester;Holland;0
4;AGF;Tobias Anker;Danmark;0
5;AGF;Frederik Tingager;Danmark;0
14;AGF;Tobias Mølgaard;Danmark;0
19;AGF;Eric Kahl;Sverige;0
25;AGF;Mikkel Kannegaard Kristensen;Danmark;0
26;AGF;Jacob Andersen;Danmark;0
27;AGF;Michael Akoto;Tyskland;0
33;AGF;Luka Callø;Danmark;0
40;AGF;Jonas Jensen-Abbew;Danmark;0
6;AGF;Nicolai Poulsen;Danmark;0
7;AGF;Mads Emil Madsen;Danmark;0
8;AGF;Mikael Anderson;Island;0
11;AGF;Gift Links;Sydafrika;0
15;AGF;Magnus Knudsen;Norge;0
16;AGF;Julius Beck;Danmark;0
17;AGF;Kevin Yakob;Sverige;0
20;AGF;Mikkel Duelund;Danmark;0
21;AGF;Peter Bjur;Danmark;0
22;AGF;Benjamin Hvidt;Danmark;0
23;AGF;Tobias Bach;Danmark;0
29;AGF;Frederik Brandhof;Danmark;0
9;AGF;Patrick Mortensen;Danmark;0
13;AGF;Janni Serra;Tyskland;0
31;AGF;Tobias Bech;Danmark;0
